id,device,timestamp,ACCOUNT_LABEL,DATE,TIME
cb9f1e61-3a6f-4abd-a6e1-8563c4689f30-19,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364341060,1,3/26/2013,2:00 PM
cb9f1e61-3a6f-4abd-a6e1-8563c4689f30-22,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364341061,2,3/26/2013,12:00 PM
cb9f1e61-3a6f-4abd-a6e1-8563c4689f30-23,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364341061,3,3/26/2013,2:00 PM
cb9f1e61-3a6f-4abd-a6e1-8563c4689f30-24,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364341061,4,3/26/2013,8:00 PM
aa789e42-0f47-426a-8763-04b9203ab479-186,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364427460,1,3/27/2013,4:15 PM
524f0298-50fa-44b4-b235-072ca0b7614e-97,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364513860,1,3/28/2013,12:00 PM
524f0298-50fa-44b4-b235-072ca0b7614e-98,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364513860,2,3/28/2013,1:00 PM
524f0298-50fa-44b4-b235-072ca0b7614e-99,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364513860,3,3/28/2013,7:30 PM
524f0298-50fa-44b4-b235-072ca0b7614e-100,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364513860,4,3/28/2013,9:30 PM
524f0298-50fa-44b4-b235-072ca0b7614e-101,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364513860,5,3/28/2013,8:00 PM
0afee2a1-d4e3-40a5-ba6f-6c806b9663d0-24,df41e591-d2f3-409a-a94d-2d6250178b1c,1364755223,1,3/31/2013,8:00 PM
0afee2a1-d4e3-40a5-ba6f-6c806b9663d0-25,df41e591-d2f3-409a-a94d-2d6250178b1c,1364755223,2,3/31/2013,8:00 PM
230d0f3f-521b-471d-94d1-d62ee583f68b-26,df41e591-d2f3-409a-a94d-2d6250178b1c,1364841623,1,4/1/2013,8:00 AM
230d0f3f-521b-471d-94d1-d62ee583f68b-27,df41e591-d2f3-409a-a94d-2d6250178b1c,1364841623,2,4/1/2013,8:00 PM
5e2a1515-5775-4484-8990-f7241c011579-21,df41e591-d2f3-409a-a94d-2d6250178b1c,1364928023,1,4/2/2013,4:00 PM
5e2a1515-5775-4484-8990-f7241c011579-22,df41e591-d2f3-409a-a94d-2d6250178b1c,1364928023,2,4/2/2013,5:30 PM
5e2a1515-5775-4484-8990-f7241c011579-23,df41e591-d2f3-409a-a94d-2d6250178b1c,1364928023,3,4/2/2013,8:00 PM
eb0d89e7-10ad-4e45-b157-2b7bb262e116-87,df41e591-d2f3-409a-a94d-2d6250178b1c,1365014423,1,4/3/2013,1:00 PM
eb0d89e7-10ad-4e45-b157-2b7bb262e116-89,df41e591-d2f3-409a-a94d-2d6250178b1c,1365014423,2,4/3/2013,8:30 PM
eb0d89e7-10ad-4e45-b157-2b7bb262e116-90,df41e591-d2f3-409a-a94d-2d6250178b1c,1365014423,3,4/3/2013,10:00 PM
bfe0457c-68ed-45ea-b567-4c4c174c473e-39,478dc69a-833a-42a9-84b3-16fff4b93bfb,1365194326,1,05/04/2013,17:00
254525d6-174c-4b3c-b7e7-371e2a953c5e-129,478dc69a-833a-42a9-84b3-16fff4b93bfb,1365280726,1,06/04/2013,15:00
254525d6-174c-4b3c-b7e7-371e2a953c5e-130,478dc69a-833a-42a9-84b3-16fff4b93bfb,1365280726,2,06/04/2013,19:30
254525d6-174c-4b3c-b7e7-371e2a953c5e-131,478dc69a-833a-42a9-84b3-16fff4b93bfb,1365280726,3,06/04/2013,12:00
c9f747a8-dca9-4dbf-905c-fd5464f0d69a-105,478dc69a-833a-42a9-84b3-16fff4b93bfb,1365367126,1,4/7/2013,7:00 PM
c9f747a8-dca9-4dbf-905c-fd5464f0d69a-107,478dc69a-833a-42a9-84b3-16fff4b93bfb,1365367127,2,4/7/2013,5:00 PM
b30bbf35-d58c-423e-bc0d-d419b7aa1644-34,478dc69a-833a-42a9-84b3-16fff4b93bfb,1365453526,1,4/8/2013,6:00 PM
76a15848-9bd7-4e6d-8de4-bf3f69ca110e-50,478dc69a-833a-42a9-84b3-16fff4b93bfb,1365539927,1,4/9/2013,3:30 PM
76a15848-9bd7-4e6d-8de4-bf3f69ca110e-51,478dc69a-833a-42a9-84b3-16fff4b93bfb,1365539927,2,4/9/2013,7:00 PM
87cff9e8-2e10-42a2-9f44-703745b58085-60,478dc69a-833a-42a9-84b3-16fff4b93bfb,1365626326,1,4/10/2013,6:00 PM
