id,device,timestamp,CALLS__id,CALLS_date,CALLS_duration,CALLS_name,CALLS_number,CALLS_numberlabel,CALLS_numbertype,CALLS_type
cb9f1e61-3a6f-4abd-a6e1-8563c4689f30-17,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364339044,3,1364339044931,0,"{""ONE_WAY_HASH"":""dafbbdf2ca67a66587dc7e4d9dd7d97ecae0ff25""}","{""ONE_WAY_HASH"":""9f6aab10ca56130bb708dde6d4547476dc21e9e3""}",,"{""ONE_WAY_HASH"":""da4b9237bacccdf19c0760cab7aec4a8359010b0""}",1
cb9f1e61-3a6f-4abd-a6e1-8563c4689f30-17,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364339044,2,1364317720051,29,"{""ONE_WAY_HASH"":""dafbbdf2ca67a66587dc7e4d9dd7d97ecae0ff25""}","{""ONE_WAY_HASH"":""9f6aab10ca56130bb708dde6d4547476dc21e9e3""}",,"{""ONE_WAY_HASH"":""da4b9237bacccdf19c0760cab7aec4a8359010b0""}",2
cb9f1e61-3a6f-4abd-a6e1-8563c4689f30-17,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364339044,1,1364317681793,32,"{""ONE_WAY_HASH"":""dafbbdf2ca67a66587dc7e4d9dd7d97ecae0ff25""}","{""ONE_WAY_HASH"":""9f6aab10ca56130bb708dde6d4547476dc21e9e3""}",,"{""ONE_WAY_HASH"":""da4b9237bacccdf19c0760cab7aec4a8359010b0""}",2
6e62445e-f6fa-4781-8865-a3ac8240a119-67,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364344659,,,,,,,,
92c93da0-2e79-48b4-a2d3-a678f21bfbd8-190,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364348259,,,,,,,,
5a3a18cd-8423-4950-a70f-e383fde704d6-189,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364351859,,,,,,,,
b09da26f-5333-4f9a-878a-121298c7a804-66,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364355459,,,,,,,,
40cf2536-d564-481e-9338-aa7c696681ad-250,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364359236,,,,,,,,
26bbdc3b-6492-4635-9d73-7cc83d57a38d-126,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364362836,,,,,,,,
2320be52-7b18-4dd7-85e6-ea3854f708e8-59,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364366436,,,,,,,,
3e9c6e07-0cad-4e57-882e-6cbdfedc202a-127,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364370036,,,,,,,,
7cb5de63-42a1-4744-b867-1b87fedfc337-131,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364373636,,,,,,,,
0fba63c5-ea1b-49d2-908b-b7e69f909db7-134,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364377236,,,,,,,,
9092f5f6-da39-4f92-b983-c28c652dd5f6-143,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364380836,,,,,,,,
d8eb2a0e-4850-46a5-8889-1f0db969d05b-124,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364384436,,,,,,,,
5aaaecfb-5e58-41ea-ab0f-6d3ec2cbdab9-95,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364385959,5,1364385959056,22,"{""ONE_WAY_HASH"":""b390026297393b55841ada94e07d30a285f83387""}","{""ONE_WAY_HASH"":""8926de0804470cb3b59c713e81f7a0db48d56150""}",,"{""ONE_WAY_HASH"":""da4b9237bacccdf19c0760cab7aec4a8359010b0""}",2
5aaaecfb-5e58-41ea-ab0f-6d3ec2cbdab9-95,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364385959,4,1364385639723,42,"{""ONE_WAY_HASH"":""b390026297393b55841ada94e07d30a285f83387""}","{""ONE_WAY_HASH"":""8926de0804470cb3b59c713e81f7a0db48d56150""}",,"{""ONE_WAY_HASH"":""da4b9237bacccdf19c0760cab7aec4a8359010b0""}",2
8fc4f441-9da1-43a9-a617-8bae08bd5158-137,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364398837,,,,,,,,
ee9ad1f9-7f3b-4f84-b22b-abd595073b58-150,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364409636,,,,,,,,
b37b473d-60d5-4699-8a71-c86a5b22f0b4-258,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364402436,,,,,,,,
5ef0dd48-3463-4ebd-9631-6d1cced6cabc-273,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364416836,,,,,,,,
2bdf2f70-f2b1-487d-b87f-80ed8d4c738a-97,aec46732-cdbd-45eb-ac4d-3cc3120376e0,1364391636,,,,,,,,
